  920.00 -2.80094e+000
  920.05 -2.80094e+000
  920.10 -2.80094e+000
  920.15 -2.80094e+000
  920.20 -2.80094e+000
  920.25 -2.80094e+000
  920.30 -2.80094e+000
  920.35 -2.80094e+000
  920.40 -2.80094e+000
  920.45 -2.80094e+000
  920.50 -2.80094e+000
  920.55 -2.80094e+000
  920.60 -2.80094e+000
  920.65 -2.80094e+000
  920.70 -2.80094e+000
  920.75 -2.80094e+000
  920.80 -2.80094e+000
  920.85 -2.80094e+000
  920.90 -2.80094e+000
  920.95 -2.80094e+000
  921.00 -2.80094e+000
  921.05 -2.80094e+000
  921.10 -2.80094e+000
  921.15 -2.80094e+000
  921.20 -2.80094e+000
  921.25 -2.80094e+000
  921.30 -2.80094e+000
  921.35 -2.80094e+000
  921.40 -2.80094e+000
  921.45 -2.80094e+000
  921.50 -2.80094e+000
  921.55 -2.80094e+000
  921.60 -2.80094e+000
  921.65 -2.80094e+000
  921.70 -2.80094e+000
  921.75 -2.80094e+000
  921.80 -2.80094e+000
  921.85 -2.80094e+000
  921.90 -2.80094e+000
  921.95 -2.80094e+000
  922.00 -2.80094e+000
  922.05 -2.80094e+000
  922.10 -2.80094e+000
  922.15 -2.80094e+000
  922.20 -2.80094e+000
  922.25 -2.80094e+000
  922.30 -2.80094e+000
  922.35 -2.80094e+000
  922.40 -2.80094e+000
  922.45 -2.80094e+000
  922.50 -2.80094e+000
  922.55 -2.80094e+000
  922.60 -2.80094e+000
  922.65 -2.80094e+000
  922.70 -2.80094e+000
  922.75 -2.80094e+000
  922.80 -2.80094e+000
  922.85 -2.80094e+000
  922.90 -2.80094e+000
  922.95 -2.80094e+000
  923.00 -2.80094e+000
  923.05 -2.80094e+000
  923.10 -2.80094e+000
  923.15 -2.80094e+000
  923.20 -2.80094e+000
  923.25 -2.80094e+000
  923.30 -2.80094e+000
  923.35 -2.80094e+000
  923.40 -2.80094e+000
  923.45 -2.80094e+000
  923.50 -2.80094e+000
  923.55 -2.80094e+000
  923.60 -2.80094e+000
  923.65 -2.80094e+000
  923.70 -2.80094e+000
  923.75 -2.80094e+000
  923.80 -2.80094e+000
  923.85 -2.80094e+000
  923.90 -2.80094e+000
  923.95 -2.80094e+000
  924.00 -2.80094e+000
  924.05 -2.80094e+000
  924.10 -2.80094e+000
  924.15 -2.80094e+000
  924.20 -2.80094e+000
  924.25 -2.80094e+000
  924.30 -2.80094e+000
  924.35 -2.80094e+000
  924.40 -2.80094e+000
  924.45 -2.80094e+000
  924.50 -2.80094e+000
