planet,species,z_exobase_km,knudsen,lambda_mfp_km,mass_amu,radius_AA,z_max_km,H0_km
cold_jupiter,TiO,477,1.0,24,63.866,2.3,2387,23.9
cold_jupiter,PH3,478,1.0,24,33.998,2.35,2387,23.9
cold_jupiter,C3,478,1.0,24,36.033,2.4,2387,23.9
cold_jupiter,V I,479,1.0,24,50.941,2.42,2387,23.9
cold_jupiter,Cr I,479,1.0,24,51.996,2.45,2387,23.9
cold_jupiter,Fe I,479,1.0,24,55.845,2.44,2387,23.9
cold_jupiter,Mn I,479,1.0,24,54.938,2.45,2387,23.9
cold_jupiter,Ti I,479,1.0,24,47.867,2.46,2387,23.9
cold_jupiter,Na I,480,1.0,24,22.99,2.5,2387,23.9
cold_jupiter,Mg I,480,1.0,24,24.305,2.51,2387,23.9
cold_jupiter,OCS,480,1.0,24,60.075,2.55,2387,23.9
cold_jupiter,Sc I,480,1.0,24,44.956,2.58,2387,23.9
cold_jupiter,Ca I,481,1.0,24,40.078,2.62,2387,23.9
cold_jupiter,SO2,481,1.0,24,64.066,2.65,2387,23.9
cold_jupiter,K I,482,1.0,24,39.098,2.73,2387,23.9
cold_jupiter,H2O,483,1.0,24,18.015,2.75,2387,23.9
cold_jupiter,NaCl,483,1.0,24,58.443,2.8,2387,23.9
cold_jupiter,H2S,484,1.0,24,34.081,2.9,2387,23.9
earth_like,H I,217,1.0,9,1.008,1.2,1000,8.4
earth_like,He I,218,1.0,9,4.003,1.43,1000,8.4
earth_like,H2,218,1.01,9,2.016,1.45,1000,8.4
earth_like,F I,219,1.0,9,18.998,1.47,1000,8.4
earth_like,O I,219,1.0,9,15.999,1.5,1000,8.4
earth_like,Be I,219,1.0,9,9.012,1.53,1000,8.4
earth_like,Ne I,219,0.99,9,20.18,1.54,1000,8.4
earth_like,N I,220,1.0,9,14.007,1.66,1000,8.4
earth_like,Cl I,220,1.0,9,35.45,1.75,1000,8.4
earth_like,OH,220,1.0,9,17.007,1.75,1000,8.4
earth_like,C I,220,1.0,9,12.011,1.77,1000,8.4
earth_like,Li I,220,1.0,9,6.94,1.82,1000,8.4
earth_like,Ar I,221,1.0,9,39.948,1.88,1000,8.4
earth_like,P I,221,1.0,9,30.974,1.9,1000,8.4
earth_like,S I,221,1.0,9,32.06,1.89,1000,8.4
earth_like,B I,221,1.0,9,10.81,1.92,1000,8.4
earth_like,CH4,221,1.0,9,16.042,2.0,1000,8.4
earth_like,O2,221,1.0,9,31.999,2.05,1000,8.4
earth_like,CO,222,1.0,9,28.01,2.1,1000,8.4
earth_like,NO,222,1.0,9,30.006,2.15,1000,8.4
earth_like,NH3,222,1.0,9,17.031,2.2,1000,8.4
earth_like,SO,222,1.0,9,48.059,2.2,1000,8.4
earth_like,Si I,222,1.0,9,28.085,2.19,1000,8.4
earth_like,SiO,222,1.0,9,44.084,2.2,1000,8.4
earth_like,Al I,222,1.0,9,26.982,2.25,1000,8.4
earth_like,HCN,222,1.0,9,27.026,2.25,1000,8.4
earth_like,CO2,223,1.0,9,44.01,2.3,1000,8.4
earth_like,TiO,223,1.0,9,63.866,2.3,1000,8.4
earth_like,PH3,223,1.0,9,33.998,2.35,1000,8.4
earth_like,C3,223,1.0,9,36.033,2.4,1000,8.4
earth_like,V I,223,1.0,9,50.941,2.42,1000,8.4
earth_like,Cr I,223,1.0,9,51.996,2.45,1000,8.4
earth_like,Fe I,223,1.0,9,55.845,2.44,1000,8.4
earth_like,Mn I,223,1.0,9,54.938,2.45,1000,8.4
