# dataset_name: beta_vs_Texc_atoms_A5
# x_label: Excitation temperature
# x_unit: K
# y_label: beta
# y_unit: dimensionless
# series_label: species
# series_unit: label
# series_values: H I, He I, Li I, Li II, Be I, Be II, Be III, B I, B II, B III, C I, C II, C III, N I, N II, N III, O I, O II, O III, F I, F II, F III, Ne I, Ne II, Ne III, Na I, Na II, Na III, Mg I, Mg II, Mg III, Al I, Al II, Al III, Si I, Si II, Si III, P I, P II, P III, S I, S II, S III, Cl I, Cl II, Cl III, Ar I, Ar II, Ar III, K I, K II, K III, Ca I, Ca II, Ca III, Sc I, Sc II, Sc III, Ti I, Ti II, Ti III, V I, V II, V III, Cr I, Cr II, Mn I, Mn II, Fe I, Fe II, Fe III
# star_key: A5
# stellar_teff_K: 8200
# distance_AU: 1.0
# b_km_s: 1.0
# use_fixed_ncol: False
# fixed_ncol_mode: species_tau1_per_temperature
# fixed_ncol_reference_t_K: 
# category: atom
# vsini_km_s: 120.0
# radius_rsun: 1.9
# mass_msun: 1.9999999999999998
# n_series: 71
# note: beta calculated against stellar gravity using gas excitation temperature T_exc and species-wise N_tau=1
#
x__Excitation_temperature	H_I	He_I	Li_I	Li_II	Be_I	Be_II	Be_III	B_I	B_II	B_III	C_I	C_II	C_III	N_I	N_II	N_III	O_I	O_II	O_III	F_I	F_II	F_III	Ne_I	Ne_II	Ne_III	Na_I	Na_II	Na_III	Mg_I	Mg_II	Mg_III	Al_I	Al_II	Al_III	Si_I	Si_II	Si_III	P_I	P_II	P_III	S_I	S_II	S_III	Cl_I	Cl_II	Cl_III	Ar_I	Ar_II	Ar_III	K_I	K_II	K_III	Ca_I	Ca_II	Ca_III	Sc_I	Sc_II	Sc_III	Ti_I	Ti_II	Ti_III	V_I	V_II	V_III	Cr_I	Cr_II	Mn_I	Mn_II	Fe_I	Fe_II	Fe_III
3000	0.003615642469	1.223685459e-14	741.7958517	3.291247571e-42	58.62866276	95.35397923	47.36437179	24.72812932	0.1218091824	18.83744074	0.05007281228	0.003089827645	1.509068539e-05	0.0001614571854	7.219950384e-06	1.322390742e-05	0.0003251084629	1.236134126e-08	2.627869228e-06	2.765943611e-08	5.727122455e-06	2.635004648e-09	3.685351718e-11	4.762472788e-21	1.606091735e-07	298.1835576	4.749717905e-27	7.412173251e-27	61.02338366	6.06376529	3.046678355e-44	52.61804254	0.5541171986	14.69263378	16.17334811	0.08632462322	0.0006597716577	3.793637194	0.01925252337	0.0008239366203	0.7696420981	0.0002326713724	8.114972719e-05	0.003984826167	3.563396402e-07	1.366158578e-06	7.242683191e-07	4.016375507e-09	6.10614182e-07	159.0329836	1.760553104e-14	3.328834293e-07	270.752965	52.03375595	2.769104818e-22	231.2319397	59.41697113	0.2025198139	123.1790917	30.07068838	0.001031583882	113.8324772	14.13799178	11.32974846	94.64458018	2.488586301	35.7200394	10.89583864	39.21834402	5.50001592	7.100042223e-06
5000	0.003617469238	1.229870995e-14	777.4872078	3.291247571e-42	61.21544076	95.32642503	47.3453216	24.73102603	0.1227295112	18.83738993	0.09371781153	0.003086203878	1.509090108e-05	0.001083527629	7.205901675e-06	1.328900363e-05	0.0003233584607	1.28941699e-08	2.649489237e-06	2.842002913e-08	5.554434612e-06	2.712589995e-09	3.696105245e-11	4.785271823e-21	1.545038558e-07	302.1353695	4.750543254e-27	7.590908022e-27	64.38805065	6.06909289	3.046678537e-44	52.70654812	0.5583359533	14.69262905	17.04515997	0.08605480333	0.0006598059406	4.139576593	0.01957800537	0.0008531493769	0.7844979223	0.0002254892067	8.283653323e-05	0.004096722532	3.621309406e-07	1.361977365e-06	7.302292693e-07	3.911378894e-09	5.944930254e-07	159.5429484	1.768594485e-14	3.089593809e-07	282.6321686	49.13646438	2.769231974e-22	223.0192084	56.48301479	0.2098016062	121.0824279	30.5623117	0.002188710425	117.7810834	18.96415143	11.94134481	93.3071657	3.606667912	38.11954178	11.53782043	43.88684493	5.572674402	0.0009526305668
6000	0.00371278142	1.760938072e-13	809.0738509	3.291295524e-42	65.96505828	95.22646275	47.27845314	24.75131858	0.1273305309	18.83692358	0.1258438416	0.003085129194	1.509409124e-05	0.003329732478	7.167831758e-06	1.330514109e-05	0.0003319566181	1.429160173e-08	2.650427686e-06	6.596870481e-08	5.501065598e-06	3.032880472e-09	1.075804157e-10	1.079134056e-20	1.529412842e-07	303.446822	2.880301656e-25	7.626418875e-27	70.57196649	6.093427951	1.415798218e-42	52.85911011	0.5796849626	14.69257126	17.40883757	0.08608639407	0.0006602189562	4.372859659	0.01965139033	0.0008602309372	0.7918880889	0.0002179555968	8.232559815e-05	0.004143758289	3.709115689e-07	1.355547368e-06	1.27861017e-06	3.89208553e-09	5.918501149e-07	154.7750503	2.225695177e-13	3.019725826e-07	290.1940074	46.77544084	6.724122903e-22	211.4830774	54.99964132	0.2250718773	116.4308352	30.94478039	0.003812759219	116.4894079	20.54511906	12.09482398	90.31514679	4.422044042	41.20136798	11.84069998	46.40492283	5.749640492	0.003987070757
8000	0.01823459457	3.438002002e-09	846.7641296	1.195505089e-34	83.9700788	94.4960521	46.83830515	25.0533128	0.1734573655	18.82804249	0.2210786946	0.003083070298	1.55273272e-05	0.01615773064	7.056376583e-06	1.332441824e-05	0.001435444488	2.184917281e-08	2.638545522e-06	1.97337944e-05	5.404439725e-06	5.658702332e-09	2.499366697e-07	3.253878218e-15	1.509841461e-07	279.6559253	2.382758192e-18	1.019730716e-26	93.30483808	6.323727009	1.775902777e-31	53.34849099	0.7973800372	14.69105865	18.22563505	0.0899186399	0.0006724457911	4.798709493	0.01982990347	0.000869153155	0.8266891985	0.0002058412309	8.040683308e-05	0.005842133384	1.770457989e-06	1.33214962e-06	0.0001682945441	3.636202951e-08	5.913680913e-07	127.4619495	3.777015787e-09	2.926719039e-07	283.8415606	42.36628056	2.359856598e-16	182.5261527	52.60873335	0.3002589094	103.7767729	31.60954355	0.01514454986	109.8466045	22.75739523	12.21863586	80.25331524	5.891152705	47.98321142	12.3603175	49.96608242	6.300404152	0.02365846869
10000	0.313402924	1.445492341e-06	801.6736866	3.293361346e-27	108.3358688	92.71138235	45.86316103	26.37239849	0.3174953473	18.78400821	0.5438243728	0.003113979677	3.038149526e-05	0.06165734551	7.587955746e-06	1.333361359e-05	0.01986625407	4.276702502e-08	2.61381305e-06	0.0008789196733	5.309244048e-06	1.248357835e-08	3.563512214e-05	9.253070336e-12	1.49832348e-07	217.6083143	3.470736713e-14	1.391076634e-21	117.6927952	7.08873409	8.258902082e-25	52.90119626	1.490606529	14.68174305	19.71224174	0.1256429521	0.0007762680576	5.234994294	0.02250009567	0.0008877076662	1.023277901	0.0004976335971	7.877612691e-05	0.02765437278	7.62486641e-05	1.30967672e-06	0.005372500362	4.434320849e-06	5.955648919e-07	94.14060008	1.391263917e-06	2.868149825e-07	249.6826835	39.44600608	8.953487399e-13	155.9768043	50.91956679	0.436535502	90.72294458	32.03617975	0.04750526651	100.5839932	24.12939443	12.17986014	68.82859824	6.926657259	50.76077117	12.90964847	50.76550566	7.03718777	0.068035122
15000	12.41368789	0.005141474989	535.9100058	2.800121988e-17	153.4816154	85.20561585	41.85097539	37.80149619	1.23623953	18.30738068	6.886071743	0.01273519689	0.001934401493	1.644041854	0.0008499545809	1.700962638e-05	0.9832924814	5.404024017e-05	2.529595552e-06	0.1497909058	2.330712434e-05	4.165958013e-08	0.02970976775	4.196686478e-07	1.48390883e-07	99.27872195	1.343404738e-08	6.604296156e-14	116.0058276	14.94573429	6.543254648e-16	55.59088805	6.477760902	14.55882713	26.76178	1.157918386	0.005244324308	7.655081551	0.2340033501	0.004736381156	4.448175709	0.06014978936	0.0004426100293	0.7930662472	0.01823773042	2.913830384e-05	0.5833202083	0.00341034948	5.529975395e-06	53.86415527	0.003817553822	7.278556494e-07	158.4827881	36.93824841	7.364653268e-08	112.3349569	48.26307014	0.9202966909	68.80856511	32.0593303	0.2371215713	78.65855015	25.5730341	11.61392318	48.14806297	8.250587967	43.91974767	14.26984199	45.00510603	9.252135079	0.2999161544
20000	16.97762431	0.3287081617	434.5477239	2.782465088e-12	151.6086108	82.85280918	37.6490896	52.8892265	3.152127522	17.24632911	25.55614785	0.239256199	0.01962863307	11.20789473	0.03443542762	0.0001543372107	6.569027722	0.005082676289	3.741386782e-06	2.008881325	0.00147660753	9.187239454e-08	0.909396069	0.0001014596009	1.518903983e-07	71.24191141	9.162366722e-06	4.881890407e-10	88.92872215	37.8427797	1.902157542e-11	45.10249627	19.19908959	14.39182594	32.67224722	6.261388976	0.07603171059	11.80069244	1.894168867	0.06686232796	13.22429555	0.8597434113	0.01083827342	4.260014396	0.306080463	0.001550991115	5.574207776	0.1010392451	0.0003069073401	40.86442911	0.206045405	6.724429509e-05	108.3136554	36.29992371	2.634537482e-05	89.13195091	46.07965473	1.560265571	55.89806087	31.08216201	0.5332799694	63.78470481	25.67966581	10.69203913	37.11879759	7.989059851	34.84818144	15.12814483	37.57067973	11.87781026	0.7350159347
30000	12.00732905	20.22926398	310.4001316	4.118858172e-07	121.9229131	118.4632315	31.99616497	72.63679053	18.3203855	14.70570638	58.5254501	7.393220695	0.1886787004	55.54783428	1.543464192	0.01121423191	34.94902826	0.483748202	0.0009933598396	22.94243245	0.1331828006	3.204742539e-05	24.10073301	0.02920845333	1.715808696e-05	46.98847782	0.00702170184	4.117621306e-06	65.80385694	95.97110107	5.968653914e-07	33.23967096	67.60508372	18.04407764	36.43271657	31.25944086	2.717208485	19.01365591	12.89783793	1.07565762	26.10674903	11.86481944	0.3290723918	14.93236778	4.582893444	0.08901374207	18.82791165	3.075310101	0.02140880387	29.60434782	11.18851715	0.009994655411	66.83611002	31.78563018	0.01635489809	66.84106615	41.55737923	5.017532471	42.62485608	28.28393462	2.236203786	48.87554714	24.70453658	8.880616474	26.75993674	6.845809968	24.18907902	15.59625853	28.05796655	17.20931207	2.304630083
50000	8.774679179	148.4101723	227.9055869	0.01180358598	95.38398553	166.8754823	38.44312426	74.56598201	102.2509324	16.07309105	64.8717877	83.98002385	4.657623519	113.386726	29.88191182	1.107620735	65.3529389	16.89789133	0.2643879794	101.6788724	5.269083985	0.01165905493	107.5916792	3.110215883	0.02470685179	33.42573385	1.546994828	0.006899992297	50.55110434	125.1155468	0.002681817231	25.84347578	104.1146906	61.71068257	33.85878907	63.91074939	44.10911587	23.97886473	49.72370569	7.310289445	28.49466543	61.58176253	4.329305786	26.70529051	31.87373254	2.054110474	18.69424924	29.65603132	0.5669774879	22.69411953	140.7064939	0.5247878162	46.28878721	20.80104022	5.127947157	50.69004591	34.55307463	22.69902991	33.0357161	23.89077726	15.38259267	40.08615506	22.12485938	6.727048027	19.80282418	5.41996836	16.31793293	14.20964838	21.8646484	21.74488887	8.085006348
